year,member_casual,total_ride_value,ride_count,average_ride_value
2020,casual,4221462.2025,1176424,3.5883849721698975
2020,member,2866944.449847869,2112927,1.3568592051915986
2021,casual,7899056.06,2317649,3.408219303268096
2021,member,4332104.4694699235,2979722,1.4538619607701402
2022,casual,3499703.4713333333,2153470,1.6251461461424275
2022,member,5072215.607714341,3233033,1.5688722038142948
2023,casual,9086672.061333334,1862238,4.87943649594377
2023,member,8503846.548899485,3518214,2.4170918963142904
2024,casual,11697488.162126666,1979949,5.907974479204599
2024,member,10562266.538732085,3597692,2.935845130359154
2025,casual,223530.54822033332,49599,4.506755140634556
2025,member,666358.0140270125,231576,2.8774916831926127
